club,date,country,League,Tier
Benfica U17,2012-06-30,Portugal,Primeira Júnior,Tier 1
Wolves,2016-10-25,England,Premier League,Tier 1
US Palermo,2009-11-23,Italy,Serie A,Tier 1
Catania,2009-06-30,Italy,Serie B,Tier 2
New England,1999-09-30,United States,Major League Soccer,Tier 2
New England Revolution,1998-08-23,United States,Major League Soccer,Tier 2
York City,1993-03-01,England,Football League Third Division,Tier 4
Notts County,1988-12-02,England,Third Division,Tier 3
Crystal Palace,2023-03-20,England,EFL Championship,Tier 2
Crystal Palace,2023-03-17,England,Premier League,Tier 1
Fulham,2011-01-05,England,Premier League,Tier 1
Crystal Palace,1999-06-30,England,Premier League,Tier 1
Bury,1956-10-01,England,Third Division,Tier 3
Norwich,2015-01-05,England,Championship,Tier 2
Norwich,2009-08-18,England,Championship,Tier 2
Hartlepool Res.,2009-01-20,England,Conference North,Tier 5
Stafford Rangers,1998-02-28,England,Conference National,Tier 4
Southampton Res.,2017-06-30,England,EFL Trophy,Tier 2
Norwich,2006-10-15,England,Championship,Tier 2
Celtic U20,2018-06-30,Scotland,Scottish Premiership,Tier 1
Wrexham,2018-12-02,Wales,National League,Tier 4
Chester City,2001-06-30,England,Third Division,Tier 3
Stockport,2011-07-05,England,Conference National,Tier 4
Blackburn,2008-12-18,England,Eredivisie,Tier 1
Tranmere Rovers,2003-09-29,England,Division Three,Tier 4
Unknown,1980-06-30,England,First Division,Tier 1
Nottm Forest,1975-01-03,England,First Division,Tier 1
Sheff Utd,2010-08-16,England,Championship,Tier 2
Doncaster,1995-02-22,England,Football League Third Division,Tier 3
Lincoln City,1993-05-31,England,Third Division (English football),Tier 4
Chaves,30/6/2024,Portugal,Primeira Liga,Tier 2
Ajax,2012-06-30,Netherlands,Eredivisie,Tier 1
Reading,2013-03-26,England,Championship,Tier 2
Millwall,2021-06-30,England,EFL Championship,Tier 2
Bedford Town,2010-10-16,England,Non League Premier,Tier 6
Scunthorpe Utd.,2018-08-26,England,League Two,Tier 4
Hull City,2022-01-25,England,EFL Championship,Tier 2
CSKA Moscow,2016-12-08,Russia,Russian Premier League,Tier 1
Rotherham,1999-06-30,England,English Third Division,Tier 3
Derby,2008-04-23,England,Championship,Tier 2
Millwall,1936-04-01,England,Third Division South,Tier 3
Georgia,1999-12-31,Georgia,Umaglesi Liga,Tier 3
KV Kortrijk,1992-12-31,Belgium,First Division (Belgium),Tier 1
Stoke City,1985-04-15,England,Second Division,Tier 2
Crewe Alexandra,1981-06-30,England,Fourth Division,Tier 4
Burnley U21,2022-04-14,England,EFL Trophy,Tier 3
Burnley,2011-09-30,England,Premier League,Tier 1
Cardiff,1986-05-21,Wales,English First Division,Tier 1
Bury,1989-04-01,England,Fourth Division,Tier 4
Burnley,1983-06-13,England,First Division,Tier 2
QPR,20/02/19,England,English Football League Championship,Tier 2
Liverpool U18,2017-06-30,England,Premier League Academy,Tier 2
AFC Fylde U18,2022-06-30,England,National League U18 Alliance,Tier 3
Blackpool,2016-05-18,England,EFL Championship,Tier 2
West Ham,2015-06-01,England,Premier League,Tier 1
Blackpool,2013-02-15,England,English Football League (EFL) Championship,Tier 2
Blackpool,2012-11-06,England,English Football League Two,Tier 4
Blackpool,2005-11-29,England,EFL Championship,Tier 2
Blackpool,1994-06-10,England,Second Division,Tier 2
Man City,2008-12-22,England,Premier League,Tier 1
Blackpool,1990-11-30,England,Second Division,Tier 2
QPR,2022-06-02,England,EFL Championship,Tier 2
Brentford,2015-06-14,England,EFL Championship,Tier 2
Watford U18,2010-02-11,England,Premier League Academy,Tier 2
Luton,2022-11-16,England,EFL Championship,Tier 1
QPR,1974-09-27,England,Third Division,Tier 3
Le Havre AC,2016-10-03,France,Ligue 2,Tier 3
Virginia Cavs,1984-11-30,United States,National Collegiate Athletic Association (NCAA),Tier 1
US Palermo,2007-04-23,Italy,Serie A,Tier 1
Ballymena,1933-06-30,Northern Ireland,Irish League,Tier 2
Fenerbahce,2021-03-25,Turkey,Turkish Super League,Tier 2
Alanyaspor,2020-07-30,Turkey,Turkish Süper Lig,Tier 2
Kartalspor,2013-01-29,Sweden,Allsvenskan,Tier 2
Wales,2016-08-09,Wales,UEFA Nations League,Tier 1
Gillingham FC,2017-01-03,England,EFL League One,Tier 2
Dundalk FC,1997-08-31,Ireland,LOI Premier Division,Tier 1
Cardiff,1981-03-03,Wales,English Football League First Division,Tier 2
Cardiff,1973-11-30,Wales,First Division,Tier 1
Newcastle,2024-06-30,England,Premier League,Tier 1
England U19,2015-07-05,England,UEFA European Under-19 Championship,Tier 1
Shakhtar D.,2022-07-11,Ukraine,Ukrainian Premier League,Tier 1
Brighton U23,2021-06-30,England,EFL Trophy,Tier 2
Lewes,2015-03-04,England,Isthmian League,Tier 4
Huddersfield,2023-02-15,England,Championship,Tier 2
Hartlepool,2011-12-06,England,Conference Premier,Tier 5
Shrewsbury,2006-03-31,England,English Football League One,Tier 3
TP Mazembe,2004-02-02,Democratic Republic of the Congo,Ligue des Champions de la CAF,Tier 1
Huddersfield,2003-03-26,England,Championship,Tier 2
England,1990-07-31,England,UEFA Euro 1992 qualifying,Tier 1
Keflavík,1994-07-02,Iceland,Úrvalsdeild,Tier 1
Ireland,1985-12-31,Republic of Ireland,European Championship for UEFA Nations,Tier 1
Bröndby IF,2016-03-09,Denmark,Superliga,Tier 2
Excelsior,20/4/2024,Netherlands,Eredivisie,Tier 1
Brentford,2007-12-10,England,Championship,Tier 2
Sierra Leone,2007-05-31,Sierra Leone,CAF Championship of Nations,Tier 2
Jamshedpur FC,2018-04-30,India,Indian Super League,Tier 2
QPR,2018-01-18,England,EFL Championship,Tier 2
Kidderminster,2019-11-27,England,National League North,Tier 4
Luton,2013-06-30,England,Championship,Tier 2
Luton,2013-01-14,England,Championship,Tier 2
Southport,2006-06-30,England,Conference North,Tier 4
Peterborough,1993-12-29,England,Third Division,Tier 4
SJ Jabloteh,2004-04-04,Trinidad and Tobago,TT Pro League,Tier 3
Luton,1964-11-21,England,First Division,Tier 1
Shrewsbury,2010-04-30,England,League Two,Tier 4
Carlisle United,2006-06-30,England,English Football League Fourth Division,Tier 4
Rochdale,2003-06-30,England,League Two,Tier 4
Cheltenham,2022-06-30,England,English Football League,Tier 4
Stoke U21,2018-06-30,England,EFL Trophy,Tier 2
Yeovil Town,2015-02-04,England,Conference Premier,Tier 4
India,2011-04-23,None,None,N/A
Bristol City,1982-01-03,England,Second Division,Tier 2
Bury,2019-06-30,England,English Football League (EFL) Two,Tier 4
Newport County,2017-03-09,Wales,National League,Tier 5
Preston,2013-02-13,England,League One,Tier 3
Motherwell FC,2010-01-27,Scotland,Scottish Premiership,Tier 1
Fulham,2009-12-29,England,EFL Championship,Tier 2
Scotland,2001-10-06,Scotland,Scottish Premier Division,Tier 2
Clyde FC,1986-06-30,Scotland,Scottish Football League,Tier 2
Millwall,1999-06-30,England,Football League First Division,Tier 2
Bracknell,2010-06-30,England,Isthmian League,Tier 4
Kilmarnock FC,2010-05-31,Scotland,Scottish Premier League,Tier 2
Dunfermline A.,2004-05-31,Scotland,Scottish Football League,Tier 2
Millwall,1997-02-10,England,Second Division,Tier 2
Millwall,1948-06-30,England,Football League Third Division South,Tier 2
Leytonstone,1930-06-29,England,Third Division South,Tier 4
Bristol Rovers,2010-05-13,England,League Two,Tier 4
Scunthorpe U18,2021-06-30,England,Football League Youth Alliance,Tier 3
Plymouth,2013-01-06,England,Conference National,Tier 4
Toronto FC,2013-01-07,Canada,Major League Soccer,Tier 2
Plymouth,2004-09-23,England,Football League Two,Tier 4
Plymouth Argyle,2000-10-31,England,Football League Third Division,Tier 4
Plymouth,1998-06-20,England,Second Division,Tier 2
Derby,1984-06-30,England,Second Division,Tier 2
Newcastle,1971-06-30,England,First Division,Tier 1
Carlisle United,1980-02-01,England,Fourth Division,Tier 4
Oldham Athletic,1969-12-01,England,Fourth Division,Tier 4
Crewe Alexandra,2022-11-03,England,EFL League Two,Tier 4
Linfield,2003-10-31,Northern Ireland,IFA Premiership,Tier 1
Kettering,1992-06-30,England,Conference League,Tier 3
Wrexham,1981-05-13,Wales,Fourth Division,Tier 4
Newport County,2015-02-06,Wales,Football Conference League,Tier 4
Billericay Town,2005-12-31,England,Isthmian League Premier Division,Tier 4
Dover Athletic,2010-06-30,England,Conference South,Tier 5
Hornchurch,2023-05-11,England,Isthmian League,Tier 5
Palace U21,2010-06-30,England,Premier League,Tier 1
Peterhead,2011-03-22,Scotland,Scottish Football League,Tier 4
Wycombe,1996-10-22,England,Football League Third Division,Tier 4
Hallescher FC,2020-06-08,Germany,3. Liga,Tier 4
Sturm Graz II,2017-06-30,Austria,Erste Liga,Tier 2
Jeonbuk Hyundai,2020-12-06,South Korea,K League 1,Tier 2
Esperance,2009-03-08,Tunisia, Tunisian Ligue 1,Tier 4
Stade Tunisien,2008-08-25,Tunisia,Ligue I,Tier 2
Estoril Praia,2001-11-26,Portugal,Primeira Liga,Tier 2
Bury,2016-11-16,England,EFL League One,Tier 2
Wivenhoe,2008-01-24,England,Isthmian League Division One North,Tier 4
Notts County,2020-08-06,England,League Two,Tier 4
N. Ireland U21,2020-06-27,Northern Ireland,UEFA European Under-21 Championship,1
Oldham Athletic,2013-02-03,England,League Two,Tier 4
Doncaster,1966-02-28,England,Fourth Division,Tier 4
Peterborough,2011-01-12,England,Football League One,Tier 3
Peterborough,2015-09-06,England,EFL Championship,Tier 2
Peterborough,2010-02-01,England,Football League Championship,Tier 2
Darlington,2002-10-23,England,Conference National,Tier 3
Leigh Genesis FC,2009-02-14,England,Conference North,Tier 4
Walsall,2009-06-30,England,League One,Tier 3
Lao Toyota,2015-11-30,Thailand,Thai League 1,Tier 2
Yeovil Town,2022-03-27,England,EFL League Two,Tier 4
