club_name,end_of_spell,manager,Level,league,tier,sacked,probability_of_sacking_true,error
Alem. Aachen,1973-06-30,Michael Pfeiffer,Senior,Regionalliga West,2,True,0.8,
Stuttg. Kickers,1972-06-30,Rudolf Kröner,Senior,Regionalliga Süd,2,False,,
1.FC Nuremberg,1971-06-30,Tina Nordmann,Senior,Bundesliga,1,True,0.8,
Roda JC,1963-06-30,Michel Pfeiffer,Senior,Eredivisie,1,True,0.8,
Rapid Vienna,1977-12-31,Robert Körner,Senior,Austrian Bundesliga,1,False,,
Rapid Vienna,1977-03-31,Rudi Günter,Senior,Austrian Bundesliga,1,True,0.8,
Rapid Vienna,1976-06-30,Rudi Günter,Senior,Austrian Bundesliga,1,True,0.8,
Rapid Vienna,1972-03-31,Karl Schlechta,Senior,Austrian Bundesliga,1,True,0.8,
Rapid Vienna,1970-06-30,Karl Schlechta,Senior,Austrian Bundesliga,1,True,0.8,
1.FC Nuremberg,1969-04-12,Max Merkel,Senior,Bundesliga,1,True,0.85,
Chio Waldhof 07,1967-06-30,Rudi Gutendorf,Senior,Nationalliga B,2,True,0.8,
Rapid Vienna,1966-06-30,Rudolf Kumhofer,Senior,Austrian Bundesliga,1,True,0.8,
SpVgg Bayreuth,1974-10-31,Heinz Elzner,Senior,Regionalliga Süd,2,True,0.8,
SpVgg Bayreuth,1974-06-01,Heinz Elzner,Senior,Regionalliga Süd,2,True,0.8,
Schweinfurt 05,1971-06-30,Günter Brocker,Senior,Regionalliga Süd,2,True,0.8,
1.FC Nuremberg,1966-12-31,Jenő Csaknady,Senior,Bundesliga,1,True,0.8,
Nuremberg II,1966-11-07,Jeno Csaknady,Reserve,Regionalliga Süd,2,False,,
SpVgg Fürth,1964-06-30,Hans Lucas,Senior,Bundesliga,1,True,0.8,
FC Basel,1961-06-30,René Bader,Senior,Nationalliga A,1,False,,
Servette FC,1958-06-30,Albert Châtelain,Senior,Swiss Super League,1,True,0.8,
Vasas Izzó,1953-12-31,Károly Fenyvessy,Senior,Nemzeti Bajnokság I,1,True,0.8,
Újpest,1948-06-30,Ferenc Szabó,Senior,Nemzeti Bajnokság I,1,True,0.8,
Újpest Jgd.,1947-08-25,Ferenc Székely,Senior,Nemzeti Bajnokság I,1,True,0.8,
R. Strasbourg,1971-04-27,Paul Frantz,Senior,Division 1,1,True,0.8,
PAOK Salonika,1970-06-30,Les Shannon,Senior,Alpha Ethniki,1,True,0.8,
AEK Athens,1968-06-30,Jenő Csaknady,Senior,Alpha Ethniki,1,True,0.8,
1.FC Nuremberg,1966-11-07,Jenő Csaknady,Senior,Bundesliga,1,True,0.8,
1.FC Nuremberg,1964-06-30,Jeno Csaknady,Senior,Bundesliga,1,True,0.8,
AEK Athens,1963-06-30,Aleksandar Petrović,Senior,Alpha Ethniki,1,True,0.8,
Stuttg. Kickers,1962-03-31,Rudolf Kröner,Senior,Oberliga Süd,1,True,0.8,
Saarbrücken,1961-06-30,Kurt Sommerlatt,Senior,Oberliga Südwest,1,True,0.8,
SpVgg Fürth,1959-06-30,Hans Schmidt,Senior,Oberliga Süd,1,False,,
1.FC Nuremberg,1954-06-30,Alfréd Schaffer,Senior,Oberliga Süd,1,True,0.8,
Wormatia Worms,1952-06-30,Kurt Krüger,Senior,Oberliga Süd,1,True,0.8,
Hamborn 07,1949-06-30,Karl Winkler,Senior,Oberliga West,1,True,0.8,
1.FC Nuremberg,1933-12-31,Alfréd Schaffer,Senior,Oberliga Süd,1,True,0.8,
1.FC Nuremberg,1949-06-30,Alfred Schaffer,Senior,Oberliga Süd,1,True,0.8,
1.FC Nuremberg,1947-06-30,Alfréd Schaffer,Senior,Oberliga Süd,1,True,0.8,
FC Porto,1962-01-11,Otto Bumbel,Senior,Primeira Liga,1,True,0.8,
Savona,1942-06-30,Imre Payer,Senior,Serie C,3,True,0.8,
Catania,1940-06-30,Géza Kertész,Senior,Serie B,2,True,0.8,
FC Metz,1939-06-30,Raymond Schneider,Senior,Division 1,1,True,0.8,
1.FC Nuremberg,1938-06-30,Alfréd Schaffer,Senior,Gauliga Bayern,1,True,0.8,
Genova,1936-06-30,Géza Szabó,Senior,Serie A,1,True,0.8,
AC Pisa,1935-06-30,József Ging,Senior,Serie B,2,False,,
Messina,1934-06-30,Emilio Colombo,Senior,Serie B,2,True,0.8,
Bocskai FC,1932-06-30,Mihály P. Szabó,Senior,Nemzeti Bajnokság I,1,True,0.8,
Ol. lillois,1939-06-30,Flory Vanhalme,Senior,Belgian First Division,1,False,,
Triestina,1938-11-13,István Mészáros,Senior,Serie A,1,True,0.8,
SK Zidenice,1934-12-31,Karel Meduna,Senior,Czechoslovak First League,1,True,0.8,
Ripensia,1933-06-30,Coleman,Senior,Divizia A,1,True,0.8,
1.FC Nuremberg,1932-06-30,Ivan Schenker,Senior,Oberliga Süd,1,True,0.8,
Hakoah Wien,1930-06-30,Jenő Konrád,Senior,Austrian Bundesliga,1,False,,
Wiener AC,1929-06-30,Josef Uridil,Senior,Austrian Bundesliga,1,False,,
Chinezul Tim.,1927-06-30,Coleman,Senior,Liga I,1,True,0.8,
Wacker Wien,1926-12-31,Eugen Böhm,Senior,Austrian Bundesliga,1,True,0.8,
WAS,1926-06-30,Syd King,Senior,Football League,Second Division,True,0.8,
FC St. Pauli,2022-12-22,Tim Schumacher,Senior,2. Bundesliga,2,True,0.85,
FC St. Pauli,2022-12-05,Tim Schumacher,Senior,2. Bundesliga,2,True,0.85,
FC Pipinsried,2020-06-30,Ernst Tanner,Senior,Regionalliga Bayern,4,False,,
FC Basel,2025-06-30,Timothée Kondogbia,Senior,Swiss Super League,1,True,0.8,
FC St. Pauli,2022-12-06,Tim Schumacher,Senior,2. Bundesliga,2,True,0.85,
St. Pauli U19,2020-07-11,Tobias Schwede,Youth,U19 Bundesliga,1,False,,
St. Pauli U17,2018-06-30,Markus Kauczinski,Youth,U17 Bundesliga,1,False,,
FC St. Pauli,2014-12-16,Thomas Meggle,Senior,2. Bundesliga,2,True,0.85,
St. Pauli II,2012-06-30,Thomas Meggle,Reserve,Regionalliga Nord,4,False,,
FC St. Pauli,2012-06-30,André Schubert,Senior,2. Bundesliga,2,True,0.85,
Wehen Wiesbaden,2025-06-30,Rüdiger Ziehl,Senior,3. Liga,Third Tier,True,0.8,
Dynamo Dresden,2021-04-25,Markus Kauczinski,Senior,2. Bundesliga,2,True,0.85,
FC St. Pauli,2019-04-10,Markus Kauczinski,Senior,2. Bundesliga,2,True,0.85,
FC Ingolstadt,2016-11-06,Ralph Hasenhüttl,Senior,Bundesliga,1,True,0.85,
Karlsruher SC,2016-06-30,Markus Kauczinski,Senior,2. Bundesliga,2,True,0.8,
Karlsruhe II,2012-03-26,Rainer Ulrich,Reserve,Regionalliga Süd,4,True,0.8,
Karlsruher SC,2011-11-06,Marco Pezzaiuoli,Senior,2. Bundesliga,2,True,0.85,
Karlsruhe II,2011-10-30,Rainer Ulrich,Reserve,Regionalliga Süd,4,True,0.85,
Karlsruher SC,2010-11-21,Markus Schupp,Senior,2. Bundesliga,2,True,0.85,
Karlsruhe II,2010-10-31,Rainer Ulrich,Reserve,Regionalliga Süd,4,True,0.8,
Karlsruher SC,2009-09-03,Edmund Becker,Senior,2. Bundesliga,2,True,0.85,
Karlsruhe II,2009-08-18,Marco Pezzaiuoli,Reserve,Regionalliga Süd,4,True,0.8,
Karlsruhe U19,2009-04-30,Rainer Ulrich,Youth,U19 Bundesliga South/Southwest,1,False,,
Karlsruhe U17,2003-03-12,Willi Kronhardt,Youth,U17 Bundesliga,1,True,0.8,
Schalke 04 U16,2001-06-30,,,,,,,"9 validation errors for Spells
club_name
  Field required [type=missing, input_value={'$schema': 'http://json-...f_sacking_true': None}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
team_level
  Field required [type=missing, input_value={'$schema': 'http://json-...f_sacking_true': None}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
manager
  Field required [type=missing, input_value={'$schema': 'http://json-...f_sacking_true': None}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
end_of_spell
  Field required [type=missing, input_value={'$schema': 'http://json-...f_sacking_true': None}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
start_of_spell
  Field required [type=missing, input_value={'$schema': 'http://json-...f_sacking_true': None}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
league
  Field required [type=missing, input_value={'$schema': 'http://json-...f_sacking_true': None}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
tier
  Field required [type=missing, input_value={'$schema': 'http://json-...f_sacking_true': None}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
sacked
  Field required [type=missing, input_value={'$schema': 'http://json-...f_sacking_true': None}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing
probability_of_sacking_true
  Field required [type=missing, input_value={'$schema': 'http://json-...f_sacking_true': None}]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.7/v/missing"
FC St. Pauli,2016-11-01,Ewald Lienen,Senior,2. Bundesliga,2,True,0.85,
St. Pauli II,2014-09-02,Thomas Meggle,Reserve,Regionalliga Nord,4,True,0.8,
FC St. Pauli,2012-10-07,André Schubert,Senior,2. Bundesliga,2,True,0.85,
FC St. Pauli,2013-06-30,André Schubert,Senior,2. Bundesliga,2,True,0.8,
Greifswalder FC,2023-04-28,Heiko März,Senior,Regionalliga Nordost,4,True,0.8,
Esbjerg fB,2022-03-09,Ole Larsen,Senior,Danish Superliga,1,True,0.8,
Pr. Niederkorn,2020-11-23,Roland Schaack,Senior,National Division,1,True,0.8,
FC Vaduz,2018-09-05,Mario Frick,Senior,Swiss Super League,1,True,0.85,
FSV Frankfurt,2017-03-06,Falko Götz,Senior,2. Bundesliga,2,True,0.85,
FC Luzern,2016-02-22,Markus Babbel,Senior,Swiss Super League,1,True,0.85,
FC St. Pauli,2014-09-03,Roland Vrabec,Senior,2. Bundesliga,2,True,0.85,
FC St. Pauli,2013-12-20,Michael Frontzeck,Senior,2. Bundesliga,2,True,0.85,
FC St. Pauli,2013-11-05,Michael Frontzeck,Senior,2. Bundesliga,2,True,0.85,
FSV Mainz 05 II,2011-06-30,Thomas Gerstner,Reserve,Regionalliga West,4,False,,
FSV Mainz 05 II,2010-06-30,Thomas Gerstner,Reserve,Regionalliga West,4,False,,
1.FSV Mainz 05,2010-04-25,Thomas Tuchel,Senior,Bundesliga,1,False,,
Mainz 05 U17,2009-08-17,Thomas Tuchel,Youth,U-17 Bundesliga,Youth,False,,
FSV Frankf. U19,2007-06-30,Thomas Oral,Youth,U-19 Bundesliga,1,False,,
FSV Frankf. U17,2006-12-31,Thomas Oral,Youth,U-17 Bundesliga,1,False,,
Teutonia 05,2024-06-30,Thomas Richter,Senior,Regionalliga Nord,4,True,0.8,
Altona 93,2023-06-30,Oliver Pagé,Senior,Regionalliga Nord,4,False,0.2,
FC St. Pauli,2007-06-30,Andreas Bergmann,Senior,2. Bundesliga,2,True,0.85,
Holst. Kiel II,2004-06-30,Frank Neubarth,Reserve,Oberliga Nord,4,False,,
Rot-Weiß Erfurt,2023-06-30,Pavel Dotchev,Senior,Regionalliga Nordost,4,True,0.8,
FC Gießen,2019-12-31,Oliver Reck,Senior,Regionalliga Südwest,4,True,0.8,
FC Gießen,2019-10-15,Oliver Reck,Senior,Regionalliga Südwest,4,True,0.85,
BSV Rehden,2015-12-31,Thomas Richter,Senior,Regionalliga Nord,4,True,0.8,
BSV Rehden,2014-12-14,Thomas Richter,Senior,Regionalliga Nord,4,True,0.8,
Jahn Regensburg,2013-01-01,Carsten Germann,Senior,3. Liga,Third Tier,True,0.8,
Jahn Regensburg,2013-05-31,Oscar Corrochano,Senior,3. Liga,Third Tier,True,0.85,
Jahn Regensburg,2010-02-27,Thomas Kristl,Senior,3. Liga,Third Tier,True,0.85,
Goslarer SC,2007-06-30,Frank Löbe,Senior,Oberliga Nord,4,True,0.8,
VfB Oldenburg,2002-06-30,Wolfgang Sidka,Senior,Regionalliga Nord,3,True,0.8,
Hannover 96,2001-12-01,Ralf Rangnick,Senior,2. Bundesliga,2,True,0.8,
VfB Oldenburg,2001-06-30,Wolfgang Sidka,Senior,Regionalliga Nord,3,True,0.8,
BV Cloppenburg,2000-12-31,Heiko Fliegel,Senior,Regionalliga Nord,3,True,0.8,
Hannover 96,1999-06-30,Ewald Lienen,Senior,2. Bundesliga,2,True,0.85,
Hannover 96,1999-08-01,Erik Gerets,Senior,Bundesliga,1,True,0.8,
TuS Celle FC,1995-04-09,Wolfgang Sidka,Senior,Oberliga Nord,3,True,0.8,
TuS Celle FC,1993-06-30,Wolfgang Sidka,Senior,Oberliga Nord,3,True,0.8,
TuS Celle FC,1992-06-30,Wolfgang Sidka,Senior,Oberliga Nord,3,True,0.8,
TuS Celle FC,1996-06-30,Wolfgang Sidka,Senior,Oberliga Nord,3,True,0.8,
St. Pauli II,2022-06-30,Florian Horn,Reserve,Regionalliga Nord,4,False,,
St. Pauli U19,2016-06-30,Stefan Emmerling,Youth,U19 Bundesliga,1,False,,
St. Pauli II,2009-01-14,Thomas Meggle,Reserve,Regionalliga Nord,4,True,0.8,
FC St. Pauli,2016-06-30,Ewald Lienen,Senior,2. Bundesliga,2,True,0.85,
Hamburger SV II,2005-11-29,Frank Pagelsdorf,Reserve,Regionalliga Nord,3,True,0.8,
W. Bremen U19,2004-10-31,Thomas Schaaf,Youth,U19 Bundesliga,1,False,,
FC St. Pauli,2002-12-16,Dietmar Demuth,Senior,2. Bundesliga,2,True,0.85,
FC St. Pauli,2002-08-19,Dietmar Demuth,Senior,2. Bundesliga,2,True,0.85,
St. Pauli II,2002-08-19,Joachim Philipkowski,Reserve,Regionalliga Nord,3,True,0.8,
St. Pauli U19,1998-06-30,Willi Kronhardt,Youth,U19 Bundesliga,1,False,,
CFC Hertha 06,2021-08-10,Pál Dárdai,Senior,2. Bundesliga,2,True,0.85,
Chemie Leipzig,2018-12-04,Tino Vogel,Senior,Regionalliga Nordost,4,True,0.85,
ZFC Meuselwitz,2015-06-30,Dirk Schuster,Senior,3. Liga,Third Tier,False,,
Berliner AK,2014-09-15,Thomas Herbst,Senior,Regionalliga Nordost,4,True,0.8,
FC Bergedorf 85,2013-10-28,Thomas Bär,Senior,Oberliga Hamburg,5,True,0.8,
Babelsberg 03,2012-05-15,Christian Benbennek,Senior,3. Liga,Third Tier,True,0.8,
E. Braunschweig,2007-06-30,Dirk Schuster,Senior,2. Bundesliga,2,True,0.8,
E. Braunschweig,2007-03-19,Dietrich Weise,Senior,2. Bundesliga,2,True,0.85,
Chemnitzer FC,2005-12-15,Thomas von Heesen,Senior,2. Bundesliga,2,True,0.8,
VfL Wolfsburg,1998-03-17,Willi Reimann,Senior,2. Bundesliga,2,True,0.85,
SV Lurup,1994-10-11,Willi Reimann,Senior,Regionalliga Nord,3,True,0.85,
St. Pauli II,1992-06-30,Willi Resch,Reserve,Oberliga Nord,3,False,,
SV Sandhausen,2023-06-18,Gerhard Kleppinger,Senior,2. Bundesliga,2,True,0.8,
SV Sandhausen,2023-04-09,Gerhard Kleppinger,Senior,2. Bundesliga,2,True,0.85,
SV Sandhausen,2021-09-21,Gerhard Kleppinger,Senior,2. Bundesliga,2,True,0.85,
SV Sandhausen,2021-06-30,Uwe Koschinat,Senior,2. Bundesliga,2,False,,
SV Sandhausen,2021-02-14,Uwe Koschinat,Senior,2. Bundesliga,2,True,0.85,
SV Sandhausen,2020-12-31,Uwe Koschinat,Senior,2. Bundesliga,2,True,0.85,
FSV Frankfurt,2011-12-28,Hans-Jürgen Boysen,Senior,2. Bundesliga,2,True,0.85,
Darmstadt 98,2009-04-19,Günter Sebert,Senior,3. Liga,Third Tier,True,0.85,
FSV Frankfurt,2005-12-20,Volker Finke,Senior,2. Bundesliga,2,True,0.8,
RW Oberhausen,2001-08-06,Gerard van der Lem,Senior,2. Bundesliga,2,True,0.85,
FC Gütersloh,2000-02-14,Eugen Hachmeister,Senior,2. Bundesliga,2,True,0.8,
FC St. Pauli,1999-01-31,Gerhard Kleppinger,Senior,2. Bundesliga,2,True,0.8,
Vikt. Griesheim,1997-06-30,Wolfgang Solz,Senior,Oberliga Hessen,4,False,,
Darmstadt 98,1996-05-02,Klaus Schlappner,Senior,2. Bundesliga,2,True,0.8,
SC Weiche 08,2022-06-30,Florian Schnorrenberg,Senior,Regionalliga Nord,4,False,,
St. Pauli II,2007-06-30,Thomas Meggle,Reserve,Regionalliga Nord,4,False,,
VfB Oldenburg,1998-09-21,Wolfgang Sidka,Senior,2. Bundesliga,2,True,0.85,
FC St. Pauli,1997-06-30,Uli Maslo,Senior,2. Bundesliga,2,True,0.8,
VfL Osnabrück,1993-06-30,Herbert Mühlenberg,Senior,2. Bundesliga,2,True,0.8,
VfB Oldenb. II,1992-06-30,Wolfgang Sidka,Reserve,Oberliga Nord,3,False,,
SV Eichede Yth.,2012-12-31,Thomas Richter,Youth,U-19 Bundesliga North/North East,1,False,,
SSV Vorsfelde,2006-04-03,Thomas von Heesen,Senior,Regionalliga Nord,3,True,0.8,
Wolfenbüttel,2005-06-30,Frank Geideck,Senior,Oberliga Niedersachsen/Bremen,4,True,0.8,
VfL Osnabrück,2000-09-27,Klaus-Peter Nemet,Senior,2. Bundesliga,2,True,0.85,
Holstein Kiel,2000-06-30,Willi Reimann,Senior,2. Bundesliga,2,True,0.8,
E. Braunschweig,1998-11-09,Benno Möhlmann,Senior,2. Bundesliga,2,True,0.85,
VfB Lübeck,1996-10-16,Willi Reimann,Senior,2. Bundesliga,2,True,0.85,
Wuppertaler SV,1994-01-30,Gerd Völler,Senior,2. Bundesliga,2,True,0.8,
Hannover 96,1992-06-30,Michael Lorkowski,Senior,2. Bundesliga,2,True,0.8,
SC Norderstedt,1990-10-16,Willi Kronhardt,Senior,Oberliga Nord,3,True,0.8,
Holstein Kiel,1988-10-22,Gerd Knoop,Senior,2. Bundesliga,2,True,0.85,
