club_name,end_of_spell,manager,Level,league,tier,sacked,probability_of_sacking_true,error
Athletic,2024-06-30,nan,nan,nan,n,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""Athletic Bilbao"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Marcelino"",\n    ""end_of_spell"": ""2024-06-30"",\n    ""start_of_spell"": ""2018-03-06"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": false,\n    ""probability_of_sacking_true"": 0.0\n  },\n  {\n    ""club_name"": ""Athletic Bilbao"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Eduardo Berizzo"",\n    ""end_of_spell"": ""2017-11-20"",\n    ""start_of_spell"": ""2017-03-06"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  },\n  {\n    ""club_name"": ""Athletic Bilbao"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Ernesto Valverde"",\n    ""end_of_spell"": ""2017-03-06"",\n    ""start_of_spell"": ""2013-12-11"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": false,\n    ""probability_of_sacking_true"": 0.0\n  }'}}"
Barcelona,2020-01-13,Ernesto Valverde,Senior,La Liga,1,True,0.8,nan
Athletic,2017-06-30,Eraso,Senior,La Liga,1,False,0.0,nan
Valencia,2013-06-30,nan,nan,nan,n,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""Valencia CF"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Unai Emery"",\n    ""end_of_spell"": ""2012-06-30"",\n    ""start_of_spell"": ""2008-01-11"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  },\n  {\n    ""club_name"": ""Valencia CF"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Mauricio Pellegrino"",\n    ""end_of_spell"": ""2009-06-30"",\n    ""start_of_spell"": ""2005-06-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.7\n  }'}}"
Olympiacos,2012-06-30,Ernesto Valverde,Senior,Greek Super League,1,False,0.0,nan
Villarreal,2010-01-31,Fernando Roig,Senior,La Liga,1,False,,nan
Olympiacos,2009-06-30,Ernst Middendorp,Senior,Greek Super League,1,False,0.0,nan
Espanyol,2008-06-30,Mauricio Pochettino,Senior,La Liga,1,False,,nan
Athletic,2005-06-30,Javier Clemente,Senior,La Liga,1,True,0.8,nan
Bilbao B,2003-06-30,José María Naya,Reserve,Tercera División,4,False,,nan
Athletic,2002-06-30,Javier Escalante,Senior,La Liga,1,True,0.8,nan
Bilbao U19,2000-06-30,José Ángel Iribar,Youth,La Liga,Youth,False,0.0,nan
Bilbao Youth,1999-06-30,Javier Escuté,Youth,Youth League,Youth,False,0.0,nan
Paris SG,2025-06-30,nan,nan,nan,n,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""Paris Saint-Germain FC"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Thomas Tuchel"",\n    ""end_of_spell"": ""2021-12-13T00:00:00.000Z"",\n    ""start_of_spell"": ""2018-05-02T00:00:00.000Z"",\n    ""league"": ""Ligue 1"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  },\n  {\n    ""club_name"": ""Paris Saint-Germain FC"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Unai Emery"",\n    ""end_of_spell"": ""2018-05-31T00:00:00.000Z"",\n    ""start_of_spell"": ""2013-06-21T00:00:00.000Z"",\n    ""league"": ""Ligue 1"",\n    ""tier"": ""1"",\n    ""sacked"": false,\n    ""probability_of_sacking_true"": 0.2\n  }'}}"
Barcelona,2017-06-30,Luis Enrique,Senior,La Liga,1,False,0.0,nan
Celta de Vigo,2014-06-30,Fernando Vázquez,Senior,La Liga,1,False,0.0,nan
AS Roma,2012-05-10,Luis Enrique,Senior,Serie A,1,True,0.8,nan
Barça Atlètic,2011-06-30,Paco García,Reserve,Segunda División B,Third Tier,False,,nan
Atlanta,2018-12-31,nan,nan,nan,n,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""Atlanta United FC"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Gerardo Martino"",\n    ""end_of_spell"": ""2016-10-04"",\n    ""start_of_spell"": ""2016-11-01"",\n    ""league"": ""Major League Soccer"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  },\n  {\n    ""club_name"": ""Atlanta United FC"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Tata Martino"",\n    ""end_of_spell"": ""2016-10-04"",\n    ""start_of_spell"": ""2014-12-01"",\n    ""league"": ""Major League Soccer"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.7\n  }'}}"
Barcelona,2014-06-30,nan,nan,nan,n,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Frank Rijkaard"",\n    ""end_of_spell"": ""2008-06-30"",\n    ""start_of_spell"": ""2003-05-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Pep Guardiola"",\n    ""end_of_spell"": ""2012-06-30"",\n    ""start_of_spell"": ""2008-07-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": false,\n    ""probability_of_sacking_true"": 0.2\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Tito Vilanova"",\n    ""end_of_spell"": ""2012-07-03"",\n    ""start_of_spell"": ""2012-07-03"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.6\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Tito Vilanova"",\n    ""end_of_spell"": ""2013-07-19"",\n    ""start_of_spell"": ""2012-07-03"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.6\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Gerard Martino"",\n    ""end_of_spell"": ""2014-01-12"",\n    ""start_of_spell"": ""2012-07-19"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.4\n  }'}}"
Newell's,2013-07-22,Gerardo Martino,Senior,Argentine Primera División,1,True,0.8,nan
Libertad,2006-12-31,Jorge Fossati,Senior,Primera División,1,False,0.0,nan
CA Colon,2005-09-13,Ricardo Caruso Lombardi,Senior,Argentine Primera División,1,True,0.8,nan
Cerro Porteño,2004-12-31,Jorge Solari,Senior,Paraguayan Primera División,1,False,0.0,nan
Libertad,2003-06-30,Juan Carlos Fernández,Senior,Primera División de Paraguay,1,True,0.8,nan
Central Córdoba,2000-12-31,Héctor Rial,Senior,Argentine Primera División,1,False,0.0,nan
Platense,1999-12-31,Héctor Rial,Senior,Argentine Primera División,1,False,,nan
Brown Arrecifes,1998-12-31,Juan Carlos,Senior,Argentine Primera División,1,False,0.5,nan
Barcelona,2013-07-19,nan,nan,nan,n,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Frank Rijkaard"",\n    ""end_of_spell"": ""2008-06-27"",\n    ""start_of_spell"": ""2003-05-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Pep Guardiola"",\n    ""end_of_spell"": ""2012-06-01"",\n    ""start_of_spell"": ""2008-07-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": false,\n    ""probability_of_sacking_true"": 0.2\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Tito Vilanova"",\n    ""end_of_spell"": ""2012-07-18"",\n    ""start_of_spell"": ""2012-07-19"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.6\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Tito Vilanova"",\n    ""end_of_spell"": ""2013-07-19"",\n    ""start_of_spell"": ""2012-07-19"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  }'}}"
Barcelona,2013-01-23,nan,nan,nan,n,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Frank Rijkaard"",\n    ""end_of_spell"": ""2008-06-27"",\n    ""start_of_spell"": ""2003-05-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Pep Guardiola"",\n    ""end_of_spell"": ""2012-06-01"",\n    ""start_of_spell"": ""2008-07-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": false,\n    ""probability_of_sacking_true"": 0.2\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Tito Vilanova"",\n    ""end_of_spell"": ""2012-07-03"",\n    ""start_of_spell"": ""2012-07-03"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": false,\n    ""probability_of_sacking_true"": 0.1\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Tito Vilanova"",\n    ""end_of_spell"": ""2013-01-23"",\n    ""start_of_spell"": ""2012-07-03"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.9\n  }'}}"
Terrassa FC,2007-06-30,Joaquim Rifé,Senior,Segunda División B,3,False,0.0,nan
UE Figueres,2005-06-15,Joaquim Costa,Senior,Segunda División B,3,False,0.0,nan
Palafrugell,2004-06-30,Joaquim Torras,Senior,Tercera Divisió,4,False,0.0,nan
Barça Youth,2003-06-30,Carles Rexach,Youth,La Liga Youth,Youth,False,,nan
Barcelona B,2021-06-30,Juan Carlos,Reserve,Segunda División B,Third Tier,False,0.0,nan
Barcelona,2013-03-31,nan,nan,nan,n,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Frank Rijkaard"",\n    ""end_of_spell"": ""2008-06-27"",\n    ""start_of_spell"": ""2003-05-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Pep Guardiola"",\n    ""end_of_spell"": ""2012-06-01"",\n    ""start_of_spell"": ""2008-07-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": false,\n    ""probability_of_sacking_true"": 0.2\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Tito Vilanova"",\n    ""end_of_spell"": ""2013-07-18"",\n    ""start_of_spell"": ""2012-07-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": false,\n    ""probability_of_sacking_true"": 0.1\n  }'}}"
CE L'Hospitalet,2007-12-31,Joaquim González,Senior,Tercera División,4,False,0.0,nan
Terrassa FC,2006-02-26,Lluís Carrasco,Senior,Segunda División B,3,True,0.8,nan
Barça U19,2003-06-30,Carles Rexach,Youth,La Liga,Youth,False,,nan
Yokohama Flüg.,1998-06-30,Zdeněk Šreiner,Senior,J1 League,1,False,0.0,nan
Galatasaray,2010-10-20,Fernando Santos,Senior,Turkish Super League,1,True,0.8,nan
Barcelona,2008-06-30,Frank Rijkaard,Senior,La Liga,1,True,0.8,nan
Sparta R.,2002-06-30,Foppe de Haan,Senior,Eredivisie,1,True,0.8,nan
HB CFFC,2015-08-18,Jesper Tengstedt,Senior,Danish 1st Division,2,True,0.8,nan
SD Luneng,2013-12-21,Ljubisa Tumbaković,Senior,Chinese Super League,1,True,0.8,nan
Celta de Vigo,2004-03-29,Miguel Ángel Lotina,Senior,La Liga,1,True,0.8,nan
Barcelona,2003-06-30,nan,nan,nan,n,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Carles Rexach"",\n    ""end_of_spell"": ""2001-06-30"",\n    ""start_of_spell"": ""1996-06-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": false,\n    ""probability_of_sacking_true"": null\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Luis Enrique"",\n    ""end_of_spell"": ""2002-09-21"",\n    ""start_of_spell"": ""2002-01-15"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Rafael Benítez"",\n    ""end_of_spell"": ""2003-06-30"",\n    ""start_of_spell"": ""2003-01-08"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.7\n  }'}}"
Real Oviedo,2001-06-30,Jesús Castro Santos,Senior,Segunda División,2,True,0.8,nan
Atlético Madrid,2000-05-15,Radomir Antić,Senior,La Liga,1,True,0.8,nan
Atlético Madrid,1999-06-30,Radomir Antić,Senior,La Liga,1,True,0.8,nan
Atlético Madrid,1998-06-30,Radomir Antić,Senior,La Liga,1,True,0.8,nan
Real Oviedo,1995-06-30,Jesús Aranguren,Senior,Segunda División,2,False,0.0,nan
Real Madrid,1992-01-27,Leo Beenhakker,Senior,La Liga,1,True,0.8,nan
Real Zaragoza,1990-06-30,Iñaki Sáez,Senior,La Liga,1,True,0.8,nan
Partizan,1988-06-30,Olivera,Senior,Yugoslav First League,1,False,0.0,nan
Barcelona,2003-02-02,nan,nan,nan,n,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Louis van Gaal"",\n    ""end_of_spell"": ""2000-01-30"",\n    ""start_of_spell"": ""1997-01-08"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Carles Rexach"",\n    ""end_of_spell"": ""1996-06-30"",\n    ""start_of_spell"": ""1975-02-01"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": false,\n    ""probability_of_sacking_true"": 0.2\n  }'}}"
Yokohama F. M.,2000-01-31,Zdeněk Šreiner,Senior,J1 League,1,True,0.8,nan
Barça Amat.,1996-06-30,Joaquim Rife,Senior,Segunda División,2,False,0.0,nan
Barça Amat.,1990-06-30,Ramon Muntaner,Senior,Segunda División,2,False,0.0,nan
CE Sabadell ,1988-09-26,Joaquim Riera,Senior,Segunda División,2,False,0.0,nan
Barcelona,2020-11-16,nan,nan,nan,n,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Quique Setién"",\n    ""end_of_spell"": ""2020-11-08"",\n    ""start_of_spell"": ""2019-08-13"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  },\n  {\n    ""club_name"": ""FC Barcelona"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Ernesto Valverde"",\n    ""end_of_spell"": ""2019-10-01"",\n    ""start_of_spell"": ""2017-05-22"",\n    ""league"": ""La Liga"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.7\n  }'}}"
