club_name,end_of_spell,manager,Level,league,tier,sacked,probability_of_sacking_true,error
SC Herford,1980-06-30,Willi Niggemeyer,Senior,2. Bundesliga Nord,2,True,0.8,
Alem. Aachen,1976-01-20,Michael Pfeiffer,Senior,2. Bundesliga,2,True,0.8,
1.FC Mülheim,1974-11-03,Willibert Kremer,Senior,Regionalliga West,2,True,0.8,
RW Essen,1973-09-27,Willibald Hahn,Senior,Regionalliga West,2,True,0.85,
Bor. Dortmund,1971-12-21,Herbert Burdenski,Senior,Bundesliga,1,True,0.8,
SW Essen,1970-06-30,Willibald Hahn,Senior,Regionalliga West,2,True,0.8,
Arm. Hannover,1966-06-30,Fritz Maas,Senior,Regionalliga Nord,2,True,0.8,
SV Meppen,1964-06-30,Heinz Ludewig,Senior,Oberliga Nord,1,False,,
Bor. Dortmund,1970-06-30,Hermann Eppenhoff,Senior,Bundesliga,1,True,0.8,
Bor. Dortmund,1971-07-27,Hermann Eppenhoff,Senior,Bundesliga,1,True,0.8,
Bor. Dortmund,1967-06-30,Heinz Murach,Senior,Bundesliga,1,True,0.8,
Bor. Dortmund,1968-12-16,Heinz Murach,Senior,Bundesliga,1,True,0.8,
VfR Mannheim,1968-04-18,Helmut Johannsen,Senior,Regionalliga Süd,2,True,0.85,
Alem. Aachen,1965-10-18,Fritz Pliska,Senior,Bundesliga,1,True,0.85,
FK Pirmasens,1962-06-30,Kurt Sommerlatt,Senior,Oberliga Südwest,1,True,0.8,
1.FC Köln,1961-06-30,Hennes Weisweiler,Senior,Oberliga West,1,False,,
Bremerhaven 93,1959-06-30,Heinz Spundflasche,Senior,Oberliga Nord,1,True,0.8,
Stuttg. Kickers,1958-06-30,Rudi Gutendorf,Senior,Oberliga Süd,1,True,0.8,
East Germany,1956-06-30,János Gyarmati,Senior,DDR-Oberliga,1,True,0.8,
Empor Rostock,1956-03-31,Heinrich Schüler,Senior,DDR-Oberliga,1,True,0.8,
BSG Empor Lauter,1954-10-31,Heinz Pohl,Senior,DDR-Oberliga,1,True,0.8,
Lok Stendal,1953-06-30,Willy Möller,Senior,DDR-Oberliga,1,True,0.8,
BSG Lok Waren,1949-06-30,Kurt Dittrich,Senior,Oberliga,1,False,,
Grimmener SV,1948-06-30,Hans-Georg Moldenhauer,Senior,Oberliga Nord,1,False,,
Westfalia Herne,1976-12-20,Willi Nier,Senior,2. Bundesliga,2,True,0.8,
Erkenschwick,1974-11-18,Fritz Langner,Senior,Regionalliga West,2,True,0.85,
RW Oberhausen,1974-06-30,Adolf Patek,Senior,Bundesliga,1,True,0.8,
Eintr. Gelsenk.,1973-06-30,Zlatko Čajkovski,Senior,Bundesliga,1,True,0.8,
Bor. Dortmund,1968-04-10,Heinz Murach,Senior,Bundesliga,1,True,0.8,
VfR Mannheim,1959-09-30,Rudi Gutendorf,Senior,Oberliga Süd,1,True,0.8,
SpVgg Fürth,1957-06-30,Hans Höger,Senior,Oberliga Süd,1,False,,
Bor. Dortmund,1955-06-30,Emil Melcher,Senior,Oberliga West,1,False,,
1.FC Nuremberg,1951-06-30,Alfred Schaffer,Senior,Oberliga Süd,1,True,0.8,
VfR Mannheim,1949-12-31,Hermann Strobel,Senior,Oberliga Süd,1,True,0.8,
Schwaben Augsb.,1948-10-15,Hans Hipp,Senior,Oberliga Süd,1,True,0.8,
FC 01 Bamberg,1947-04-30,Hans Schlagbauer,Senior,Oberliga Süd,1,True,0.8,
1.FC Nuremberg,1945-09-30,Alfréd Schaffer,Senior,Gauliga Bayern,1,True,0.8,
VfR Mannheim,1940-06-30,Hans Tauchert,Senior,Gauliga Baden,1,False,,
FC Schalke 04,1938-07-31,Erich Gutendorf,Senior,Gauliga Westfalen,1,True,0.8,
SW Essen,1933-06-30,Kurt Otto,Senior,Bezirksliga,2,True,0.8,
Pfeil Phönix,1929-06-30,Wilhelm Schmieger,Senior,Bezirksliga,2,False,,
FC 04 Singen,1958-06-30,Kurt Sommerlatt,Senior,Oberliga Süd,1,False,,
B. Neunkirchen,1957-06-30,Kurt Sommerlatt,Senior,Oberliga Südwest,1,False,,
Luxembourg,1955-06-30,,,,,,,InternalServerError
Stuttg. Kickers,1954-06-30,Karl Rappan,Senior,Oberliga Süd,1,False,,
STV Horst-Em.,1953-06-30,Heinrich Schmitz,Senior,Oberliga West,1,False,,
Bor. Dortmund,1950-06-30,Ferdinand Swatosch,Senior,Oberliga West,1,True,0.8,
TuRa Bonn,1942-06-30,Karl Flink,Senior,Gauliga Mittelrhein,1,False,,
SSV Wuppertal,1953-05-31,Kurt Sobotka,Senior,Oberliga West,1,True,0.8,
SpVgg Fürth,1952-02-18,Hans Krauß,Senior,Oberliga Süd,1,True,0.8,
Pr. Münster,1951-03-31,Fritz Schmidt,Senior,Oberliga West,1,True,0.8,
B. Neunkirchen,1950-05-31,Kurt Sommerlatt,Senior,Oberliga Südwest,1,True,0.8,
Bor. Dortmund,1948-06-30,Ferdinand Swatosch,Senior,Oberliga West,1,False,,
Wolfenbüttel,1947-02-28,Hermann Flick,Senior,Oberliga Süd,1,True,0.8,
Bor. Lippstadt,1947-05-31,Karl Winkler,Senior,Oberliga West,1,False,,
Finland,1937-08-19,Yrjö Ali-Melkkilä,Senior,Mestaruussarja,1,True,0.8,
TSV Braunschweig,1934-05-31,Otto Faist,Senior,Gauliga Niedersachsen,1,True,0.8,
Holstein Kiel,1933-05-31,Hans Lang,Senior,Gauliga Nordmark,1,True,0.8,
DVV Coburg,1931-11-30,Hans Schittenhelm,Senior,Gauliga Bayern,1,True,0.8,
Erkenschwick,1947-06-30,Karl Winkler,Senior,Oberliga West,1,False,,
Bor. Dortmund,1946-07-31,Ferdinand Swatosch,Senior, Gauliga Westfalen,1,False,,
Röhlinghausen,1939-06-30,Karl Winkler,Senior,Gauliga Ruhr,1,True,0.8,
Bor. Dortmund,1936-05-31,Edmund Fröhlich,Senior,Gauliga Westfalen,1,True,0.8,
Bor. Dortmund,1939-06-30,Edmund Wessel,Senior,Gauliga Westfalen,1,False,,
Fortuna Köln,1953-06-30,Kurt Richter,Senior,Oberliga West,1,False,,
B. Neunkirchen,1952-06-30,Kurt Sommerlatt,Senior,Oberliga Südwest,1,False,,
FC Schalke 04,1949-06-30,Fritz Szepan,Senior,Oberliga West,1,False,,
VfR Köln 04,1948-06-30,Karl Flink,Senior,Oberliga West,1,False,,
Arm. Bielefeld,1947-06-30,Fritz Kaiser,Senior,Oberliga West,1,True,0.8,
Arm. Bielefeld,1940-06-30,Fritz Ruchay,Senior,Gauliga Westfalen,1,True,0.8,
Bor. Dortmund,1939-05-31,Edmund Wessel,Senior,Gauliga Westfalen,1,False,,
RW Oberhausen,1936-06-30,Kurt Otto,Senior,Gauliga Niederrhein,1,True,0.8,
Lützenkirchen,1935-06-30,Karl Willnecker,Senior,Gauliga Niederrhein,1,False,,
Mulhouse,1932-11-30,Robert Wurtz,Senior,Division 2,2,True,0.8,
Sülz 07,1931-06-30,Wilhelm Busch,Senior,Bezirksliga Rhein,2,False,,
Erkenschwick,1951-11-30,Fritz Langner,Senior,Oberliga West,1,True,0.8,
Erkenschwick,1949-06-30,Karl Winkler,Senior,Oberliga West,1,False,,
FC Schalke 04,1947-09-30,Fritz Szepan,Senior,Oberliga West,1,True,0.8,
Erkenschwick,1945-06-30,Karl Winkler,Senior,Gauliga Westfalen,1,False,,
Bor. Dortmund,1935-08-31,Heinrich Pfaffenbach,Senior,Gauliga Westfalen,1,True,0.8,
Foggia,1952-06-30,Luigi Ferrero,Senior,Serie B,2,True,0.8,
Alessandria,1951-06-30,Federico Allasio,Senior,Serie B,2,True,0.8,
Bologna,1949-12-12,Hermann Felsner,Senior,Serie A,1,True,0.8,
Lucchese,1948-06-30,Mario Magnozzi,Senior,Serie A,1,True,0.8,
Lazio,1948-02-09,Tony Cargnelli,Senior,Serie A,1,True,0.8,
Cuneo,1944-06-30,Mario Zanello,Senior,Serie C,Third Tier,True,0.8,
Liguria,1943-06-30,Ivo Fiorentini,Senior,Serie B,2,True,0.8,
AC Torino,1942-06-30,András Kuttik,Senior,Serie A,1,True,0.8,
Ambrosiana-Inter,1940-06-30,Tony Cargnelli,Senior,Serie A,1,True,0.8,
Bari,1938-06-30,József Ging,Senior,Serie A,1,True,0.8,
Torino,1936-06-30,Eugenio Sturzo,Senior,Serie A,1,False,,
Bari,1934-06-30,Engelbert König,Senior,Serie A,1,True,0.8,
Foggia,1933-06-30,Adolfo Baloncieri,Senior,Serie B,2,True,0.8,
Palermo,1931-06-30,Gyula Feldmann,Senior,Serie A,1,True,0.8,
Torino,1929-11-11,Imre Schoffer,Senior,Serie A,1,True,0.8,
Poli Timișoara,1927-06-30,Béla Károlyi,Senior,Liga I,1,True,0.8,
VfB Mühlburg,1926-06-30,Hugo Fuchs,Senior,Bezirksliga Baden,1,False,,
Admira Wien,1924-06-30,Johann Skolaut,Senior,Austrian Bundesliga,1,False,,
Bor. Dortmund,1923-12-31,Heinrich Pfennig,Senior,West German Football Championship,1,False,,
Idar-Oberstein,1923-06-30,Heinrich Fischer,Senior,Kreisliga Hessen-Hannover,1,False,0.2,
VfL Köln 1899,1922-06-30,Wilhelm Baumann,Senior,Kreisliga Südkreis,1,False,,
Germ. Schwechat,1921-06-30,Franz Riederer,Senior,Austrian Bundesliga,1,False,,
1.FC K'lautern,2024-06-30,Aurélien Tchouaméni,Senior,3. Liga,Third Tier,True,0.8,
Erzgebirge Aue,2021-05-28,Dirk Schuster,Senior,2. Bundesliga,2,True,0.85,
Darmstadt 98,2019-02-18,Dimitrios Grammozis,Senior,2. Bundesliga,2,True,0.85,
FC Augsburg,2016-12-14,Dirk Schuster,Senior,Bundesliga,1,True,0.85,
Darmstadt 98,2016-06-30,Dirk Schuster,Senior,2. Bundesliga,2,False,,
Stuttg. Kickers,2012-11-19,Dirk Schuster,Senior,3. Liga,Third Tier,True,0.85,
FC Wilferdingen,2008-06-30,Rainer Adrion,Senior,Oberliga Baden-Württemberg,5,True,0.8,
ASV Durlach,2007-01-10,Rainer Ulrich,Senior,Oberliga Baden-Württemberg,4,True,0.8,
1.FC K'lautern,2022-05-10,Dirk Schuster,Senior,3. Liga,Third Tier,True,0.8,
Würzb. Kickers,2020-11-09,Michael Schiele,Senior,3. Liga,Third Tier,True,0.85,
E. Braunschweig,2020-07-07,Marco Antwerpen,Senior,2. Bundesliga,2,True,0.85,
Pr. Münster,2019-06-30,Sven Hübscher,Senior,3. Liga,Third Tier,True,0.8,
Viktoria Köln,2017-12-11,Oliver Zapel,Senior,3. Liga,Third Tier,True,0.8,
Rot Weiss Ahlen,2016-05-18,Christian Hock,Senior,Regionalliga West,4,True,0.8,
Rot Weiss Ahlen,2013-06-30,Ingo Anderbrügge,Senior,3. Liga,Third Tier,True,0.85,
RW Ahlen U19,2012-06-30,Thomas Bertram,Youth,U19 Bundesliga West,1,False,,
Burgsteinfurt,2012-01-08,Heiko Bonan,Senior,Oberliga Westfalen,5,True,0.8,
Neuchâtel Xamax,2023-04-23,Stéphane Henchoz,Senior,Swiss Super League,1,True,0.85,
RFCU Luxembourg,2022-06-30,Fernando Varela,Senior,National Division,1,False,,
1.FC K'lautern,2021-01-30,Luis Schneider,Senior,3. Liga,Third Tier,True,0.85,
FC Ingolstadt,2020-03-09,Jeff Saibene,Senior,2. Bundesliga,2,True,0.85,
Arm. Bielefeld,2018-12-10,Jeff Saibene,Senior,2. Bundesliga,2,True,0.85,
FC Thun,2017-03-19,Mauro Lustrinelli,Senior,Swiss Super League,1,True,0.85,
FC St. Gallen,2015-09-01,Jeff Saibene,Senior,Swiss Super League,1,True,0.8,
Luxembourg,2011-03-07,Marc Grosjean,Senior,National Division,1,True,0.8,
Luxembourg U21,2011-03-07,Rene Schneider,Youth,UEFA U21 Championship,International,False,,
FC Aarau,2009-10-12,Ryszard Komornicki,Senior,Swiss Super League,1,True,0.85,
FC Aarau,2009-06-17,Ryszard Komornicki,Senior,Swiss Super League,1,True,0.85,
FC Thun,2007-06-05,Urs Schönenberger,Senior,Swiss Super League,1,True,0.8,
FC Thun,2007-03-06,Urs Schönenberger,Senior,Swiss Super League,1,True,0.85,
Luxembourg,2006-06-30,,,,,,,InternalServerError
1.FC Düren,2025-06-30,Ralf Gewaltig,Senior,Regionalliga West,4,True,0.8,
1.FC K'lautern,2020-09-29,Alexander Schmidt,Senior,3. Liga,Third Tier,True,0.85,
1.FC Nuremberg,2019-06-30,Damir Canadi,Senior,2. Bundesliga,2,True,0.85,
1.FC Nuremberg,2019-02-27,Boris Schommers,Senior,2. Bundesliga,2,True,0.85,
1.FC Nuremberg,2019-02-11,Boris Schommers,Senior,2. Bundesliga,2,True,0.85,
1.FC Köln U19,2017-06-30,Markus Daun,Youth,U19 Bundesliga West,1,False,,
1.FC Köln U17,2013-06-30,Markus Daun,Youth,U-17 Bundesliga West,1,False,,
1.FC Köln U17,2010-10-24,Frank Schaefer,Youth,U-17 Bundesliga West,1,True,0.8,
1.FC K'lautern,2019-09-16,Alois Schwartz,Senior,3. Liga,Third Tier,True,0.85,
Sonnenhof-Gr.,2018-10-05,Uwe Rapolder,Senior,3. Liga,Third Tier,True,0.85,
Mainz 05 Yth.,2017-06-30,Jan-Moritz Lichte,Youth,U19 Bundesliga,1,False,,
Elversberg U17,2016-01-03,Thomas Brendel,Youth,U17 Bundesliga,1,False,,
SC Hauenstein,2015-04-19,Rainer Scharinger,Senior,Regionalliga Südwest,4,True,0.8,
Idar-Oberstein,2013-06-30,Uwe Raphael,Senior,Regionalliga West,4,False,,
VfL Wolfsburg,2021-10-26,Mark van Bommel,Senior,Bundesliga,1,True,0.85,
VfL Wolfsburg,2022-06-30,Florian Kohfeldt,Senior,Bundesliga,1,True,0.85,
1.FC K'lautern,2018-12-01,Marco Kurz,Senior,2. Bundesliga,2,True,0.85,
Hannover 96,2015-12-21,Thomas Schaaf,Senior,Bundesliga,1,True,0.85,
FC St. Pauli,2013-11-06,Michael Frontzeck,Senior,2. Bundesliga,2,True,0.85,
Bor. M'gladbach,2011-02-13,Michael Frontzeck,Senior,Bundesliga,1,True,0.85,
Arm. Bielefeld,2009-05-17,Thomas Gerstner,Senior,2. Bundesliga,2,True,0.8,
Alem. Aachen,2007-05-19,Dieter Hecking,Senior,2. Bundesliga,2,True,0.85,
Bor. M'gladbach,2003-09-22,Ewald Lienen,Senior,Bundesliga,1,True,0.85,
Jeunesse Esch,2022-06-14,Henri Bossi,Senior,National Division,1,False,,
Hesperange,2020-10-14,Franck Hammon,Senior,National Division,1,True,0.85,
CS Fola Esch,2020-06-30,Cédric Oscke,Senior,National Division,1,False,0.2,
1.FC K'lautern,2018-01-31,Marc Schneider,Senior,2. Bundesliga,2,True,0.85,
CS Fola Esch,2017-09-26,Cédric Oscke,Senior,National Division,1,True,0.85,
CS Fola Esch,2012-06-30,Ralph Becker,Senior,National Division,1,False,,
CS Fola Esch,2010-12-22,Ralph Becker,Senior,National Division,1,True,0.8,
K'lautern U17,2018-01-11,Konrad Fünfstück,Youth,Under 17 Bundesliga,1,False,,
1.FC K'lautern,2017-09-26,Tayfun Korkut,Senior,2. Bundesliga,2,True,0.85,
1.FC K'lautern,2019-06-30,Jeff Saibene,Senior,3. Liga,Third Tier,True,0.85,
FC Augsburg,2015-06-30,Markus Weinzierl,Senior,Bundesliga,1,False,,
FC Augsburg,2012-10-08,Jos Luhukay,Senior,Bundesliga,1,True,0.85,
TSV Aindling,2011-06-30,Thomas Kreuzer,Senior,Regionalliga Süd,4,False,,
SSV Ulm 1846,2009-09-23,Ralf Becker,Senior,3. Liga,Third Tier,True,0.85,
TSV Aindling,2009-06-30,Thomas Ziemer,Senior,Regionalliga Süd,4,False,,
FC Ingolstadt,2007-10-01,Jürgen Press,Senior,2. Bundesliga,2,True,0.8,
TSV Aindling,2005-11-30,Rainer Ulrich,Senior,Regionalliga Süd,3,True,0.8,
Liechtenstein,2026-06-30,Mario Frick,Senior,Swiss Challenge League,2,True,0.8,
W. Bremen II,2023-05-16,Sven Hübner,Reserve,3. Liga,Third Tier,False,,
FC Wil 1900,2019-03-31,Ronny Teuber,Senior,Swiss Challenge League,2,True,0.85,
1.FC K'lautern,2016-05-20,Konrad Fünfstück,Senior,2. Bundesliga,2,True,0.8,
K'lautern II,2015-09-22,Konstantin Fünfstück,Reserve,Regionalliga West,4,True,0.85,
Gr. Fürth II,2012-12-31,Heiko Herrlich,Reserve,Regionalliga Süd,4,False,,
Gr. Fürth Yth.,2011-06-30,Thomas Klein,Youth,Under 19 Bundesliga,1,False,,
Gr. Fürth Yth.,2006-06-30,Heiko Herrlich,Youth,Under 19 Bundesliga,Youth Top Tier,False,,
VfB Pößneck,2002-06-30,Frank Lieberam,Senior,Regionalliga Nord,3,True,0.8,
K'lautern II,2021-09-02,André Becker,Reserve,Regionalliga West,4th,True,0.85,
K'lautern U19,2021-06-30,Thomas Kessler,Youth,U19 Bundesliga West,Youth Top Tier,False,,
Saarbrücken,2020-06-30,Lukas Kwasniok,Senior,3. Liga,Third Tier,False,,
Saarbrücken U19,2020-06-30,Tobias Schweinsteiger,Youth,U19 Bundesliga,1,False,,
K'lautern II,2016-06-30,Konstantin Fünfstück,Reserve,Regionalliga West,4,False,,
1.FC K'lautern,2013-09-15,Olivier Kreuzer,Senior,2. Bundesliga,2,True,0.85,
1.FC K'lautern,2013-08-28,Olivier Kreuzer,Senior,2. Bundesliga,2,True,0.85,
K'lautern II,2009-06-30,Jeff Saibene,Reserve,Regionalliga West,4,False,,
FC Zürich,2022-09-21,André Breitenreiter,Senior,Swiss Super League,1,True,0.85,
Austria,2022-03-31,Manfred Schmid,Senior,Austrian Bundesliga,1,True,0.8,
Sturm Graz,2017-12-31,Franco Foda,Senior,Austrian Bundesliga,1,False,,
Sturm Graz,2012-04-12,Richard Kitzbichler,Senior,Austrian Bundesliga,1,True,0.85,
Sturm Graz II,2006-06-30,Heinz Hochhauser,Reserve,Austrian Regionalliga Mitte,Third Tier,False,,
Sturm Graz,2003-06-30,Franz Wohlfahrt,Senior,Austrian Bundesliga,1,True,0.8,
Sturm Graz,2002-09-13,Franz Lederer,Senior,Austrian Bundesliga,1,True,0.85,
Sturm Graz II,2002-06-30,Heinz Hochhauser,Reserve,Austrian Regionalliga Mitte,Third Tier,False,,
CSKA 1948,2021-06-14,Lyuboslav Penev,Senior,First Professional Football League,1,True,0.8,
CSKA 1948,2021-03-23,Lyuboslav Penev,Senior,First Professional Football League,1,True,0.85,
Bulgaria,2019-10-18,,,,,,,InternalServerError
Etar,2019-05-31,Krasimir Balakov,Senior,First Professional Football League,1,True,0.8,
Litex Lovech,2015-07-10,Luboslav Penev,Senior,A Group,1,True,0.8,
Chern. Burgas,2010-12-07,Dimcho Belyakov,Senior,A Group,1,True,0.85,
Grasshoppers,2007-05-21,Karl Engel,Senior,Swiss Super League,1,True,0.8,
VFC Plauen,2005-12-31,Jürgen Raab,Senior,Regionalliga Nord,3,True,0.8,
VfB Stuttgart,2005-06-30,Giovanni Trapattoni,Senior,Bundesliga,1,True,0.8,
Melbourne,2020-01-15,Marco Kurz,Senior,A-League,1,True,0.85,
Adelaide United,2019-04-30,Marco Kurz,Senior,A-League,1,True,0.85,
F. Düsseldorf,2016-03-13,Torsten Frings,Senior,2. Bundesliga,2,True,0.85,
FC Ingolstadt,2013-09-30,Thomas Oral,Senior,2. Bundesliga,2,True,0.85,
TSG Hoffenheim,2013-04-01,Marco Kurz,Senior,Bundesliga,1,True,0.85,
1.FC K'lautern,2012-03-19,Klaus-Dieter Pagels,Senior,2. Bundesliga,2,True,0.85,
1860 Munich,2009-02-23,Marco Kurz,Senior,2. Bundesliga,2,True,0.85,
1860 München II,2007-03-17,Walter Modick,Reserve,Regionalliga Süd,4,True,0.85,
SC Pfullendorf,2006-04-30,Stefan Ertl,Senior,Regionalliga Süd,3,True,0.8,
SC Pfullendorf,2005-06-30,Stefan Ruthenbeck,Senior,Regionalliga Süd,3,True,0.8,
Hansa Rostock,2025-06-30,Jens Härtel,Senior,2. Bundesliga,2,True,0.8,
SV Sandhausen,2023-02-19,Gerhard Kleppinger,Senior,2. Bundesliga,2,True,0.85,
Karlsruher SC,2020-02-02,Christian Eichner,Senior,2. Bundesliga,2,True,0.85,
1.FC Nuremberg,2017-03-07,Achim Beierlorzer,Senior,2. Bundesliga,2,True,0.85,
SV Sandhausen,2016-06-30,Alois Schwartz,Senior,2. Bundesliga,2,False,,
Rot-Weiß Erfurt,2013-05-31,Peter Vollmann,Senior,3. Liga,Third Tier,True,0.85,
K'lautern II,2012-09-09,Konstantin Klein,Reserve,Regionalliga West,4th,True,0.85,
1.FC K'lautern,2009-06-17,Jeff Saibene,Senior,2. Bundesliga,2,True,0.85,
K'lautern II,2009-05-03,Alois Schwartz,Reserve,Regionalliga West,4,False,,
Wormatia Worms,2006-12-23,Bernhard Raab,Senior,Regionalliga Süd,3,True,0.85,
Rot-Weiß Erfurt,2005-06-30,René Müller,Senior,2. Bundesliga,2,True,0.8,
Rot-Weiß Erfurt,2003-06-30,René Müller,Senior,2. Bundesliga,2,True,0.8,
Rot-Weiß Erfurt,2003-04-10,René Müller,Senior,2. Bundesliga,2,True,0.85,
Rosenborg,2023-06-16,Kjetil Knutsen,Senior,Eliteserien,1,True,0.8,
HamKam,2021-12-31,Jakob Michelsen,Senior,Eliteserien,1,True,0.8,
Start,2019-03-28,Keith Hill,Senior,League One,3,True,0.85,
Vålerenga,2017-02-03,Kjetil Rekdal,Senior,Eliteserien,1,True,0.85,
Vålerenga,2016-12-31,Kjetil Rekdal,Senior,Eliteserien,1,True,0.8,
Aalesund,2012-11-26,Kjetil Rekdal,Senior,Tippeligaen,1,True,0.8,
Molde ,2008-09-05,Øystein Gåre,Senior,Tippeligaen,1,True,0.85,
1.FC K'lautern,2008-02-09,Bernhard Trares,Senior,2. Bundesliga,2,True,0.85,
Lierse SK,2007-06-25,Kjetil Rekdal,Senior,Belgian Pro League,1,True,0.85,
Vålerenga,2006-08-20,Kjetil Rekdal,Senior,Tippeligaen,1,True,0.8,
Vålerenga,2004-12-31,Kjetil Rekdal,Senior,Tippeligaen,1,True,0.8,
1.FC K'lautern,2007-06-30,Michael Henke,Senior,2. Bundesliga,2,True,0.85,
1.FC K'lautern,2007-04-11,Michael Henke,Senior,2. Bundesliga,2,True,0.85,
Hansa Rostock,2005-06-30,Jürgen Röber,Senior,2. Bundesliga,2,True,0.8,
Hansa Rostock,2003-10-14,Armin Veh,Senior,Bundesliga,1,True,0.85,
Hansa Rostock,2003-10-06,Armin Veh,Senior,Bundesliga,1,True,0.85,
Lok Leipzig,2020-06-30,Almedin Civa,Senior,3. Liga,Third Tier,False,,
Lok Leipzig,2019-12-07,Almedin Civa,Senior,Regionalliga Nordost,4,True,0.85,
1.FC Nuremberg,2015-09-23,Valérien Ismaël,Senior,2. Bundesliga,2,True,0.85,
Hansa Rostock,2012-09-03,Wolfgang Wolf,Senior,2. Bundesliga,2,True,0.85,
K. Offenbach,2011-02-26,Wolfgang Frank,Senior,3. Liga,Third Tier,True,0.85,
Skoda Xanthi,2009-09-15,Nikos Kehagias,Senior,Super League Greece,1,True,0.85,
1.FC K'lautern,2007-04-10,Michael Henke,Senior,2. Bundesliga,2,True,0.85,
1.FC Nuremberg,2005-10-31,Wolfgang Wolf,Senior,Bundesliga,1,True,0.85,
VfL Wolfsburg,2003-03-04,Wolfgang Wolf,Senior,Bundesliga,1,True,0.85,
Stuttg. Kickers,1998-02-18, Willi Entenmann,Senior,2. Bundesliga,2,True,0.85,
Arm. Bielefeld,2022-12-31,Uwe Neuhaus,Senior,2. Bundesliga,2,True,0.85,
FC Ingolstadt,2019-06-04,Jens Keller,Senior,2. Bundesliga,2,True,0.85,
SH Shenhua,2018-12-24,Wu Jingui,Senior,Chinese Super League,1,True,0.85,
FC Ingolstadt,2017-10-11,Lukas Kwasniok,Senior,2. Bundesliga,2,True,0.85,
FC Ingolstadt,2016-11-11,Markus Kauczinski,Senior,Bundesliga,1,True,0.85,
FC Ingolstadt,2016-11-07,Ralph Hasenhüttl,Senior,Bundesliga,1,True,0.85,
FC Ingolstadt,2013-10-06,Thomas Oral,Senior,2. Bundesliga,2,True,0.85,
FC Ingolstadt,2013-09-29,Tommy Wright,Senior,2. Bundesliga,2,True,0.85,
Aston Villa,2013-01-31,Alex McLeish,Senior,Premier League,1,True,0.85,
Esteghlal FC ,2012-06-30,Parviz Mazloumi,Senior,Iran Pro League,1,True,0.8,
1.FC Köln,2010-10-24,Zvonimir Soldo,Senior,Bundesliga,1,True,0.85,
Saarbrücken,2007-01-31,Dieter Ferner,Senior,Regionalliga Süd,3,True,0.85,
Saarbrücken,2006-10-30,Dieter Ferner,Senior,Regionalliga Süd,3,True,0.85,
1.FC K'lautern,2005-11-19,Michael Henke,Senior,2. Bundesliga,2,True,0.85,
B. Dortmund II,1994-06-30,Edmund Stöhr,Reserve,Oberliga Westfalen,3,False,,
