club_name,end_of_spell,manager,Level,league,tier,sacked,probability_of_sacking_true,error
ES Sahel,2019-06-30,Khaled Ben Yahia,Senior,Ligue 1,1,True,0.8,
CS Sedan,2016-06-30,Fabrice Hériteau,Senior,Ligue 2,2,True,0.8,
ES Sahel,2014-06-30,Gilles IviÃ±o,Senior,Ligue 1,1,False,0.0,
CS Constantine,2013-06-01,Nabil Neghiz,Senior,Ligue 1,2,True,0.8,
Ankaragücü,2010-05-24,Jean-Michel Cavalli,Senior,Süper Lig,1,True,0.8,
Lens,1997-06-30,Gilles Dupont,Senior,Ligue 1,1,True,0.8,
AS Red Star 93,1986-06-30,Tomi Skoblar,Senior,First League of Yugoslavia,1,False,0.0,
Esperance,1984-06-30,Abdelmajid Chetali,Senior,Tunisian Ligue 1,1,False,0.0,
R. Strasbourg,1983-06-30,Jean-Michel Atteuergue,Senior,Ligue 2,2,False,0.0,
Paris FC,1981-09-30,Henri Zernik,Senior,Ligue 2,2,False,0.0,
Lens,1979-06-30,Jean-Louis Gomis,Senior,Ligue 2,Second Tier,False,,
AS Red Star,1978-06-30,Milan Ogrizovic,Senior,First League of Yugoslavia,1,False,0.0,
Stade Briochin,2022-02-23,Fabien Azière,Senior,Ligue 2,2,True,0.8,
Stade Briochin,2021-06-14,Fabien Azière,Senior,Ligue 2,2,True,0.8,
Stade Briochin,2021-04-09,Fabien Abergel,Senior,National,4,True,0.8,
TVEC Les Sables,2019-06-30,Jean-Luc Fournier,Reserve,French National 3,5,False,0.0,
Trégunc ,2015-03-31,Jean-Luc Fournier,Senior,French National 3,5,True,0.8,
Plaintel,2014-06-30,John,Senior,English Football League,Non-League,True,0.8,
GS Consolat M.,2012-06-30,Joaquim González,Senior,Tercera División,4,False,0.0,
Concarneau,2011-12-31,Patrick Jacob,Senior,French National,4,False,0.0,
FC Lorient,2010-06-30,Christian Gourcuff,Senior,Ligue 1,1,False,0.0,
Quevilly,2006-06-30,Jean-Luc Fournier,Senior,French National,4,False,0.0,
Canet Rous.,2023-06-30,Jean-Luc Fournier,Senior,French National 3,5,False,0.0,
Athl. Marseille,2020-05-31,André Villas-Boas,Senior,Ligue 1,1,True,0.8,
FC Martigues,2017-11-01,Patrick Léon,Senior,French National,4,True,0.8,
Mézières,2017-06-30,Jean-Luc Fournier,Senior,French Football Federation,5,True,0.8,
CS Sedan,2015-12-19,Fabrice Hériteau,Senior,Ligue 2,2,True,0.8,
Quevilly,2013-06-30,Olivier Frapolli,Senior,Ligue 2,2,True,0.8,
CS Sedan,2012-10-30,Fabien Debec,Senior,Ligue 2,2,True,0.8,
Paris FC,2009-09-28,Alain Giresse,Senior,Ligue 2,Second Tier,True,0.8,
CS Sedan,2009-06-30,Jean-Luc Kot,Senior,Ligue 2,2,False,0.0,
FC Annecy,2026-06-30,Jean-Luc Fournier,Senior,French National 2,4,True,0.8,
US Boulogne,2021-05-16,Olivier Frapolli,Senior,Ligue 2,2,True,0.8,
Cercle Brugge,2019-05-02,Yannick Ferrera,Senior,Belgian Pro League,1,True,0.8,
Toronto FC II,2018-06-01,Jason Bent,Reserve,USL Championship,Third Tier,True,0.8,
Toronto,2018-01-25,Greg Vanney,Senior,Major League Soccer,1,False,0.0,
US Boulogne,2010-12-27,Olivier Frapolli,Senior,Ligue 2,2,True,0.8,
FC Nantes B,2009-06-30,Pierre Moudiki,Reserve,French Football League,Fourth Tier,False,,
Rennes,2019-08-31,Julien Stéphan,Senior,Ligue 1,1,False,0.0,
SM Caen,2015-02-24,Franck Honorat,Senior,Ligue 1,1,True,0.8,
Club Africain,2014-02-24,Khaled Ben Yahia,Senior,Tunisian Ligue 1,1,True,0.8,
Stade Brestois,2013-04-02,Corentin Martins,Senior,Ligue 2,2,True,0.8,
FC Nantes,2012-05-30,Michel Der Zakarian,Senior,Ligue 1,1,True,0.8,
CS Sedan,2011-05-30,Jean-Luc Fournier,Senior,Ligue 2,Second Tier,True,0.8,
Rennes,2007-12-31,Pascal Dupraz,Senior,Ligue 1,1,True,0.8,
Rennes U19,2007-06-30,Christian Gourcuff,Youth,France - U19,Youth,False,,
DL Aerbin,2013-12-31,Mihai Stoica,Senior,Liga I,1,True,0.8,
FC Gueugnon,2011-04-08,Jean-Luc Kotanyi,Senior,Ligue 2,Second Tier,True,0.8,
Amiens SC,2009-10-15,Gilles Bourgarit,Senior,Ligue 2,2,True,0.8,
Dijon,2007-12-17,Olivier Dacquin,Senior,Ligue 2,2,True,0.8,
CS Sedan,2006-10-31,Jean-Luc Kot,Senior,Ligue 2,2,True,0.8,
CS Sedan,2003-03-31,Jean-Luc Kot,Senior,Ligue 2,2,True,0.8,
Troyes,2003-01-02,Albert Cartier,Senior,Ligue 1,1,True,0.8,
Troyes,2002-12-31,Laurent Fournier,Senior,Ligue 2,Second Tier,True,0.8,
Troyes B,2002-06-30,Albert Cartier,Senior,Ligue 2,2,True,0.8,
U. A. E.,2009-06-04,Abdullah Izzat,Senior,Saudi Pro League,1,True,0.8,
U. A. E.,2008-09-24,Abdullah Irieqi,Senior,Saudi Pro League,1,True,0.8,
U. A. E. U20,2007-06-30,Hassan El-Bey,Youth,U-20 Africa Cup of Nations,Youth International,False,0.0,
CS Sedan,2004-06-30,Jean-Luc Kot,Senior,Ligue 2,2,True,0.8,
Nîmes Olympique,2001-11-30,Robert Nouzaret,Senior,Ligue 2,Second Tier,False,0.0,
Saint-Étienne,1996-06-30,Michel Leblond,Senior,Ligue 1,1,True,0.8,
AS Choisy-le-Roi,1994-06-30,Jean-Luc Girard,Senior,French National,4,False,0.0,
US Monastir,1990-06-30,Mourad Hafsi,Senior,Tunisian Ligue 1,1,False,0.0,
Stade Reims,1989-06-30,Jean Snella,Senior,Ligue 1,1,False,,
FC Sète 34,1988-06-30,Jean-Louis Cazal,Senior,Ligue 2,2,True,0.8,
Stade Brestois,2016-06-30,Mikael Arteta,Senior,Ligue 2,2,True,0.8,
AC Ajaccio,2012-12-17,Franck Dumas,Senior,Ligue 1,1,True,0.8,
Stade Brestois,2012-04-26,Mikael Arteta,Senior,Ligue 1,1,True,0.8,
FC Gueugnon,2008-05-20,Jean-Luc Kotanyi,Senior,Ligue 2,2,True,0.8,
U. A. E.,2007-06-30,Mohammed Al-Kharashy,Senior,Saudi Pro League,1,True,0.8,
Amiens SC,2006-03-08,Gilles Bourges,Senior,Ligue 2,2,True,0.8,
Stade Lavallois,2004-06-30,Michel Henninot,Senior,Ligue 2,Second Tier,True,0.8,
FC Gueugnon,2000-06-30,Jean-Luc Kotanyi,Senior,French Ligue 2,Second Tier,False,0.0,
US Boulogne,1998-06-30,Jean-Luc Sadourny,Senior,French Division 2,2,True,0.8,
O Charleville,1998-11-30,John Ryan,Senior,League of Ireland First Division,Second Tier,True,0.8,
USL Dunkerque,1996-08-31,Jean-Michel Van den Berg,Senior,French Division 2,Second Tier,True,0.8,
USL Dunkerque,1990-06-30,Jean-Michel Lescure,Senior,French Division 2,2,True,0.8,
USL Dunkerque,1985-06-30,Jean-Michel Lecocq,Senior,French Division 2,2,False,0.0,
USL Dunkerque,1984-06-30,Jean-Michel Lescure,Senior,French Division 2,Second Tier,True,0.8,
Troyes,2010-06-22,Alain Perrin,Senior,Ligue 2,2,True,0.8,
Guingamp,2007-10-03,Yvon Pouliquen,Senior,Ligue 2,2,True,0.8,
SM Caen,2005-05-07,Joël Quinney,Senior,Ligue 2,2,True,0.8,
KAA Gent,2002-02-28,Robert Waseige,Senior,Belgian First Division,1,False,0.0,
CS Sedan,2000-06-30,Jean-Luc Kot,Senior,Ligue 2,Second Tier,False,,
AS Beauvais,1998-06-30,Jean-Marc Ettori,Senior,Ligue 2,Second Tier,False,0.0,
AS Beauvais,1997-06-30,Jean-Marc Ettori,Senior,Ligue 2,2,True,0.8,
AS Beauvais,1995-03-31,Jean-Marc Ettori,Senior,Ligue 2,Second Tier,True,0.8,
Marseille,1987-06-30,Michel Hidalgo,Senior,Ligue 1,1,False,0.0,
Al-Wasl,2012-10-26,Hassan Al-Jalabubi,Senior,UAE Pro League,1,True,0.8,
Al-Gharafa SC,2012-03-14,Hassan Shehata,Senior,Qatar Stars League,1,True,0.8,
U. A. E.,2008-09-22,Nelo Vingada,Senior,Saudi Pro League,1,True,0.8,
Ittihad Club,2006-06-30,Mansour Al-Mohannadi,Senior,Saudi Pro League,1,False,0.0,
Al-Gharafa SC,2006-03-14,Hassan Al-Jawhari,Senior,Qatar Stars League,1,True,0.8,
Al-Ain FC,2004-05-31,Mohammed Al-Jawhari,Senior,UAE Pro League,1,False,0.0,
ASOA Valence,1999-10-31,Jean-Luc Kotanyi,Senior,Ligue 2,Second Tier,True,0.8,
CS Sedan,1998-06-30,Jean-Luc Kot,Senior,French Division 2,Second Tier,False,0.0,
US Valenciennes,1994-03-30,Jean-Michel Van den Broeck,Senior,Ligue 2,Second Tier,True,0.8,
LOSC Lille,1993-02-28,Jacky Bonnemains,Senior,Ligue 1,1,True,0.8,
AS Beauvais,1991-06-30,Jean-Michel Vanucci,Senior,French Division 2,2,True,0.8,
SO Cholet,2017-06-30,Jean-Luc Vasseur,Senior,French National,4,True,0.8,
SO Cholet,2016-01-04,Jean-Luc Vasseur,Senior,French National,4,True,0.8,
SO Cholet,2015-05-26,Jean-Luc Vasseur,Senior,French National,4th,True,0.8,
CS Hammam-Lif,2012-06-20,Mourad Okbi,Senior,Ligue 1,2,True,0.8,
LB Châteauroux,2010-06-02,Régis Brouwers,Senior,Ligue 2,Second Tier,True,0.8,
LB Châteauroux,2008-12-18,Régis Brouwers,Senior,Ligue 2,Second Tier,True,0.8,
FC Sète 34,2007-06-10,Jean-Luc Fournier,Senior,Ligue 2,Second Tier,False,0.0,
Bayonne,2006-01-01,Jean-Louis Garcia,Senior,French Ligue 2,Second Tier,True,0.8,
Pont-Saint-Espr,1998-06-30,Jean-Michel Lescure,Senior,French National,4,True,0.8,
Mulhouse S-A,1996-11-01,Jean-Luc Fournier,Senior,French National,3,False,0.0,
CS Sedan,1995-06-30,Jean-Michel Léonard,Senior,French Division 2,2,False,0.0,
FC Martigues,1994-07-01,Jean-Luc Kotanyi,Senior,French Division 2,2,False,0.0,
Saint-Étienne,1992-06-30,Michel Leblond,Senior,Ligue 1,1,True,0.8,
Saint-Étienne,1990-06-30,Michel Leblond,Senior,Ligue 1,1,True,0.8,
F91 Dudelange,2016-06-30,Camille Cottray,Senior,National Division,1,True,0.8,
Differdange 03,2014-06-30,Jeff Strasser,Senior,National Division,2,False,0.0,
RE Virton,2010-06-30,Jean-Louis Gateau-Legrand,Senior,Belgian Third Division,4,True,0.8,
F91 Dudelange,2009-06-30,Luc Holtz,Senior,Luxembourg National Division,1,False,0.0,
Jeunesse Esch,2004-06-30,Lucien Schaus,Senior,National Division,2,False,0.0,
RE Virton,2003-06-30,Jean-Michel Fuchs,Senior,Belgian Third Division,3,True,0.8,
FC Lorrain Arlon,1995-06-30,Jean-Marie Philippot,Senior,Belgian Third Division,3,False,0.0,
CS Sedan,1994-06-30,Jean-Michel Léonard,Senior,French Division 2,Second Tier,False,0.0,
CS Sedan,1986-06-30,Jean-Michel Léonard,Senior,French Division 2,Second Tier,False,0.0,
CS Sedan,1987-06-30,Jean-Michel Léonard,Senior,French Division 2,Second Tier,False,0.0,
Châtellerault,1980-06-30,Jean-Luc Fournier,Senior,French Division 3,3,True,0.8,
CS Sedan,1975-06-30,Jean-Michel Attevet,Senior,French Division 2,2,False,0.0,
CS Sedan,1974-06-30,Jean-Michel Atteuergue,Senior,French Division 2,2,False,0.0,
CS Sedan,1963-06-30,Jean-Louis Schumpler,Senior,French Division 2,2,False,0.0,
G. Bordeaux,2024-06-30,V. Gourvennec,Senior,Ligue 1,1,False,0.0,
Stade Reims,2021-05-25,Freddy Rincón,Senior,Ligue 1,1,True,0.8,
Stade Reims,2017-05-21,Olivier Guégan,Senior,Ligue 2,2,True,0.8,
Stade Reims,2016-06-30,Oscar Garcia,Senior,Ligue 2,2,True,0.8,
Stade Reims B,2017-05-21,Olivier Guégan,Reserve,CFA 2,5,False,0.0,
US Boulogne,2012-07-23,Olivier Frapolli,Senior,Ligue 2,2,True,0.8,
Cannes,2012-01-01,Jean-Marc Furlan,Senior,French Ligue 2,Second Tier,True,0.8,
SO Chambéry,2011-06-08,Jean-Luc Fournier,Senior,French National,4,True,0.8,
Saint-Étienne,2008-11-10,Alain Perrin,Senior,Ligue 1,1,True,0.8,
G. Bordeaux,2022-02-16,Violet,Senior,Ligue 1,1,True,0.8,
G. Bordeaux B,2020-08-09,Jean-Marc Furlan,Reserve,French Ligue 2,Second Tier,False,0.0,
G. Bordeaux,2022-02-07,Violet,Senior,Ligue 1,1,True,0.8,
Lazio,2014-01-04,Vladimir Petković,Senior,Serie A,1,True,0.8,
FC Sion,2012-06-30,Christian Constantin,Senior,Swiss Super League,1,True,0.8,
Samsunspor,2012-01-23,Rıza Çaça,Senior,Turkish Super League,1,True,0.8,
BSC Young Boys,2011-05-08,Martin Rueda,Senior,Swiss Super League,1,True,0.8,
AC Bellinzona,2008-06-30,Giovanni Guidotti,Senior,Swiss Challenge League,2,True,0.8,
FC Lugano,2005-06-30,Giovanni Trapattoni,Senior,Swiss Super League,1,False,0.0,
Malcantone Agno,2004-06-30,Giancarlo Favarin,Senior,Swiss Challenge League,2,False,0.0,
AC Bellinzona,1998-06-30,Giovanni Invernizzi,Senior,Swiss Super League,1,False,0.0,
Saint-Étienne,2019-06-30,Óscar García Junyent,Senior,Ligue 1,1,True,0.8,
Saint-Étienne,2017-12-19,Christophe Galtier,Senior,Ligue 1,1,True,0.8,
Montpellier,2017-05-23,René Girard,Senior,Ligue 1,1,True,0.8,
Paris SG,2016-06-22,Carlo Ancelotti,Senior,Ligue 1,1,False,0.0,
G. Bordeaux,2010-05-20,Laurent Blanc,Senior,Ligue 1,1,False,0.0,
FC Istres,2006-09-16,Jean-Louis Garcia,Senior,Ligue 2,Second Tier,True,0.8,
Espanyol,2004-06-30,Miguel Ángel Lotina,Senior,La Liga,1,True,0.8,
SM Caen,2001-06-30,Joël Quinney,Senior,Ligue 2,2,True,0.8,
Montpellier,1999-11-30,Alain Perrin,Senior,Ligue 1,1,False,0.0,
Montpellier,1998-06-30,Alain Perrin,Senior,Ligue 1,1,False,0.0,
Athletico-PR,2022-02-07,Tiago Luis,Senior,Campeonato Brasileiro,1,True,0.8,
G. Bordeaux,2019-02-26,Jocelyn Gourvennec,Senior,Ligue 1,1,True,0.8,
Santos,2018-09-05,Muricy Ramalho,Senior,Campeonato Paulista,First Tier,True,0.8,
Al-Nassr,2017-09-22,Ralph Rangnick,Senior,Saudi Pro League,1,True,0.8,
São Paulo,2016-11-23,Grêmio Maringá,Senior,Campeonato Brasileiro Série A,1,True,0.8,
Botafogo,2016-08-06,Carlos Alberto Braga,Senior,Campeonato Brasileiro Série A,1,True,0.8,
Vasco da Gama,2014-02-01,Caio Jr.,Senior,Campeonato Brasileiro Série A,1,True,0.8,
Vasco da Gama,2012-08-28,João Francisco,Senior,Campeonato Brasileiro Série A,1,True,0.8,
São Paulo,2010-08-06,Péricles Chamusca,Senior,Campeonato Brasileiro Série A,1,True,0.8,
Monaco,2009-06-20,László Bölöni,Senior,Ligue 1,1,True,0.8,
G. Bordeaux,2007-06-30,Erick Mombaerts,Senior,Ligue 1,1,False,0.0,
Flamengo,2004-11-01,Agustín Valentín,Senior,Campeonato Brasileiro Série A,1,True,0.8,
Fluminense,2004-08-15,João Francisco,Senior,Campeonato Brasileiro,1,True,0.8,
Juventude,2002-12-13,Evaristo de Carvalho,Senior,Campeonato Brasileiro Série B,Second Tier,True,0.8,
Coritiba FC,2001-09-21,Evaristo de Macedo,Senior,Campeonato Brasileiro Série A,1,True,0.8,
Guarani,2001-08-10,Ricardo Lunari,Senior,Paraguayan Primera División,1,True,0.8,
EC Vitória,2000-06-30,Cláudio Duarte,Senior,Campeonato Baiano,Third Tier,False,0.0,
Sport Recife,1999-06-30,Mário Sérgio,Senior,Campeonato Brasileiro,First Tier,True,0.8,
Paris SG,1998-06-30,,,,,,,"Error code: 400 - {'error': {'message': ""Failed to generate JSON. Please adjust your prompt. See 'failed_generation' for more details."", 'type': 'invalid_request_error', 'code': 'json_validate_failed', 'failed_generation': '{\n    ""club_name"": ""Paris Saint-Germain FC"",\n    ""team_level"": ""Senior"",\n    ""manager"": ""Louis Floch,\n    ""end_of_spell"": ""1998-06-30"",\n    ""start_of_spell"": ""1994-07-01"",\n    ""league"": ""Ligue 1"",\n    ""tier"": ""1"",\n    ""sacked"": true,\n    ""probability_of_sacking_true"": 0.8\n  }'}}"
G. Bordeaux,2019-03-08,Jocelyn Gourvennec,Senior,Ligue 1,1,True,0.8,
G. Bordeaux,2018-01-20,Waldemar Kita,Senior,Ligue 1,1,True,0.8,
G. Bordeaux,2011-06-05,Laurent Blanc,Senior,Ligue 1,1,True,0.8,
G. Bordeaux,2005-06-01,Jean Tigana,Senior,Ligue 1,1,False,,
G. Bordeaux,2012-07-08,Laurent Blanc,Senior,Ligue 1,1,False,,
G. Bordeaux,2003-10-24,Jean Tigana,Senior,Ligue 1,1,True,0.8,
